age,height_cm,weight_kg,preferred_foot,sprint_30m_sec,vertical_jump_cm,agility_t_sec,coopers_m,knee_angle_mean,knee_angle_std,hip_sway_mean,step_proxy_mean,academy_accept,speed_score,power_score,endurance_score
15,164,81,راست,4.06,41,11.87,2929,150,8.0,0.097,0.017,0,97.0,62.0,62.0
18,182,71,چپ,4.05,38,12.28,3012,170,5.9,0.04,0.008,0,98.0,57.0,67.0
15,166,60,راست,5.03,39,11.46,3122,171,11.2,0.059,0.005,0,48.0,58.0,75.0
17,172,78,راست,4.84,46,11.82,2272,170,7.1,0.036,0.007,0,58.0,69.0,40.0
17,174,59,چپ,4.57,36,11.89,2993,155,8.3,0.1,0.019,0,71.0,54.0,66.0
17,170,74,راست,4.12,42,10.94,2448,155,11.3,0.065,0.018,0,94.0,63.0,40.0
17,188,56,هردو,4.59,38,10.6,2246,172,9.0,0.072,0.014,0,70.0,57.0,40.0
18,163,60,هردو,4.57,56,10.51,2320,165,4.9,0.035,0.014,0,71.0,84.0,40.0
16,172,76,هردو,4.21,31,10.63,2413,153,11.5,0.082,0.015,0,90.0,46.0,40.0
14,166,65,راست,4.52,34,10.69,2438,160,9.0,0.045,0.008,0,74.0,51.0,40.0
17,186,70,راست,4.48,58,10.52,2255,173,6.7,0.093,0.019,0,76.0,87.0,40.0
15,178,70,هردو,4.74,48,12.2,2549,172,5.1,0.044,0.011,0,63.0,72.0,40.0
17,181,55,راست,4.76,37,11.89,2306,158,10.4,0.043,0.011,0,62.0,56.0,40.0
15,187,63,هردو,4.05,30,10.12,3030,172,9.0,0.033,0.013,0,98.0,45.0,69.0
15,161,82,هردو,4.45,51,10.67,2247,152,8.3,0.063,0.006,0,78.0,76.0,40.0
17,169,81,چپ,4.75,46,10.06,2772,168,11.2,0.07,0.007,0,62.0,69.0,51.0
18,172,60,راست,4.6,36,11.25,2536,157,10.3,0.035,0.016,0,70.0,54.0,40.0
15,189,70,راست,5.03,54,11.19,2225,154,5.2,0.084,0.006,0,48.0,81.0,40.0
15,184,83,چپ,4.79,33,12.08,3003,153,6.5,0.062,0.014,0,60.0,50.0,67.0
17,180,57,راست,4.2,35,10.77,2456,173,6.0,0.067,0.009,0,90.0,52.0,40.0
15,165,74,راست,4.08,60,12.04,2207,155,10.0,0.061,0.011,0,96.0,90.0,40.0
15,187,82,چپ,4.77,48,12.42,2824,151,4.3,0.058,0.009,0,62.0,72.0,55.0
17,187,81,هردو,4.03,56,10.22,3066,169,8.6,0.069,0.01,1,98.0,84.0,71.0
17,171,58,چپ,4.7,39,11.98,2452,160,10.1,0.041,0.016,0,65.0,58.0,40.0
14,171,73,چپ,5.13,55,11.47,2891,153,11.0,0.043,0.009,0,44.0,82.0,59.0
18,179,80,راست,4.69,48,11.2,2918,164,6.7,0.09,0.013,0,65.0,72.0,61.0
18,189,57,چپ,4.47,32,11.05,2502,155,10.6,0.096,0.012,0,77.0,48.0,40.0
15,189,73,هردو,4.77,42,11.96,2838,171,4.9,0.056,0.015,0,62.0,63.0,56.0
18,170,74,راست,4.55,57,11.6,2255,166,10.8,0.049,0.019,0,72.0,86.0,40.0
15,185,61,راست,4.65,49,12.01,2925,173,5.0,0.075,0.016,0,67.0,74.0,62.0
14,182,74,چپ,5.13,57,12.26,2725,155,7.2,0.059,0.008,0,44.0,86.0,48.0
17,187,63,چپ,4.46,37,11.54,2673,168,10.4,0.032,0.005,0,77.0,56.0,45.0
17,184,55,چپ,5.15,30,12.45,2227,174,5.2,0.041,0.009,0,42.0,45.0,40.0
17,166,62,چپ,5.09,32,11.52,3182,151,5.8,0.08,0.014,0,46.0,48.0,79.0
18,189,61,راست,4.23,42,11.59,2277,164,9.8,0.076,0.006,0,88.0,63.0,40.0
14,160,72,راست,4.08,57,11.39,2415,160,9.8,0.032,0.012,0,96.0,86.0,40.0
18,160,62,چپ,4.12,54,10.23,2585,157,9.1,0.046,0.014,0,94.0,81.0,40.0
18,184,55,چپ,4.02,62,11.82,2564,168,9.6,0.046,0.01,0,99.0,93.0,40.0
14,186,65,چپ,4.11,35,11.37,2865,162,8.3,0.077,0.017,0,94.0,52.0,58.0
14,189,82,هردو,4.82,61,11.13,2725,161,6.0,0.031,0.007,0,59.0,92.0,48.0
14,184,79,راست,4.09,50,12.28,2898,154,6.8,0.037,0.006,1,96.0,75.0,60.0
14,179,79,راست,4.38,45,10.74,2511,155,5.5,0.086,0.016,0,81.0,68.0,40.0
17,172,72,چپ,5.01,50,11.31,3082,171,11.3,0.042,0.012,0,50.0,75.0,72.0
16,168,77,چپ,4.03,40,11.74,2206,153,8.7,0.076,0.015,0,98.0,60.0,40.0
16,162,84,چپ,4.98,64,11.99,2202,168,7.2,0.047,0.012,0,51.0,96.0,40.0
14,166,64,چپ,4.34,48,11.15,2822,169,7.7,0.037,0.009,1,83.0,72.0,55.0
16,165,57,چپ,4.14,49,12.11,3118,150,11.6,0.047,0.017,1,93.0,74.0,75.0
16,167,61,راست,4.84,47,11.92,2949,169,5.2,0.081,0.017,0,58.0,70.0,63.0
14,186,82,راست,4.75,43,10.17,2562,166,8.7,0.09,0.015,0,62.0,64.0,40.0
16,168,70,راست,5.05,44,10.11,2950,161,8.0,0.088,0.009,0,48.0,66.0,63.0
18,189,80,چپ,4.88,60,11.55,2707,164,8.9,0.058,0.014,0,56.0,90.0,47.0
15,164,70,راست,4.96,30,10.87,2473,150,4.1,0.077,0.01,0,52.0,45.0,40.0
15,160,79,راست,4.34,32,10.52,2705,163,11.0,0.044,0.006,0,83.0,48.0,47.0
14,178,74,راست,4.21,45,11.45,3005,155,11.5,0.051,0.019,0,90.0,68.0,67.0
